,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
642530,1/28/2017 16:32,1/28/2017 16:53,1284,Cathedral Pkwy & Broadway,Central Park S & 6 Ave,Subscriber,Male,1974
5630375,6/10/2017 14:03,6/10/2017 14:05,76,Bayard St & Baxter St,Bayard St & Baxter St,Customer,,
5481113,6/8/2017 7:25,6/8/2017 7:31,328,Driggs Ave & N Henry St,N 8 St & Driggs Ave,Subscriber,Female,1986
3873453,5/7/2017 10:50,5/7/2017 10:56,382,Perry St & Bleecker St,8 Ave & W 31 St,Subscriber,Male,1993
2567503,4/10/2017 7:32,4/10/2017 7:41,526,Broadway & E 22 St,Pershing Square South,Subscriber,Male,1974
6432811,6/24/2017 19:13,6/24/2017 19:18,308,Carmine St & 6 Ave,W 13 St & 7 Ave,Subscriber,Male,1987
1909858,3/20/2017 9:08,3/20/2017 9:13,314,Fulton St & Clermont Ave,Hanson Pl & Ashland Pl,Subscriber,Male,1968
4989575,5/30/2017 10:12,5/30/2017 10:26,854,W 26 St & 8 Ave,Greenwich St & W Houston St,Subscriber,Male,1985
4485367,5/19/2017 8:51,5/19/2017 8:58,433,Broadway & W 56 St,E 47 St & Park Ave,Subscriber,Male,1979
6686290,6/28/2017 20:29,6/28/2017 20:40,603,8 Ave & W 16 St,W 38 St & 8 Ave,Subscriber,Male,1987
6398149,6/24/2017 11:07,6/24/2017 11:13,351,University Pl & E 14 St,W 13 St & Hudson St,Subscriber,Male,1976
2964832,4/17/2017 19:27,4/17/2017 19:41,816,W 84 St & Columbus Ave,W 104 St & Amsterdam Ave,Subscriber,Female,1990
5334757,6/5/2017 12:23,6/5/2017 12:29,368,E 53 St & Madison Ave,E 58 St & 1 Ave,Subscriber,Male,1990
574675,1/26/2017 12:40,1/26/2017 13:06,1574,W 43 St & 6 Ave,Carmine St & 6 Ave,Subscriber,Male,1954
5981682,6/16/2017 13:15,6/16/2017 13:20,324,Broadway & W 36 St,E 41 St & Madison Ave,Subscriber,Male,1992
2897347,4/16/2017 15:23,4/16/2017 15:44,1233,Cleveland Pl & Spring St,S 5 Pl & S 4 St,Customer,,
3582305,5/1/2017 13:31,5/1/2017 13:46,881,E 45 St & 3 Ave,W 34 St & 11 Ave,Subscriber,Male,1972
1507415,2/28/2017 18:03,2/28/2017 18:10,418,Columbus Ave & W 103 St,W 106 St & Central Park West,Subscriber,Male,1990
5448406,6/7/2017 16:35,6/7/2017 16:58,1356,E 39 St & 3 Ave,Central Park North & Adam Clayton Powell Blvd,Subscriber,Male,1968
4580791,5/20/2017 21:12,5/20/2017 21:27,852,Vesey Pl & River Terrace,Mercer St & Spring St,Subscriber,Male,1994
5515649,6/8/2017 17:07,6/8/2017 17:21,862,E 39 St & 2 Ave,E 20 St & FDR Drive,Subscriber,Female,1974
4885759,5/27/2017 16:41,5/27/2017 16:58,1027,Washington St & Gansevoort St,West St & Chambers St,Customer,Male,1994
4025507,5/10/2017 10:20,5/10/2017 10:53,2005,E 85 St & 3 Ave,Spruce St & Nassau St,Subscriber,Male,1973
3847598,5/6/2017 15:58,5/6/2017 16:31,1997,Front St & Maiden Ln,Old Fulton St,Customer,,
4586817,5/21/2017 8:24,5/21/2017 8:36,723,Avenue D & E 12 St,E 15 St & 3 Ave,Subscriber,Male,1981
3303809,4/25/2017 15:02,4/25/2017 15:18,966,Greenwich St & W Houston St,9 Ave & W 28 St,Subscriber,Female,1980
6722387,6/29/2017 14:29,6/29/2017 15:01,1927,W 78 St & Broadway,W 63 St & Broadway,Subscriber,Female,1971
4731489,5/24/2017 8:32,5/24/2017 9:07,2101,Central Park S & 6 Ave,Central Park S & 6 Ave,Subscriber,Male,1966
6018157,6/17/2017 8:06,6/17/2017 8:35,1727,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,Customer,,
4079228,5/11/2017 9:03,5/11/2017 9:08,338,W 84 St & Broadway,Columbus Ave & W 72 St,Subscriber,Female,1992
87348,1/5/2017 14:30,1/5/2017 14:42,700,E 17 St & Broadway,Avenue D & E 3 St,Subscriber,Male,1986
2184051,3/29/2017 17:23,3/29/2017 17:40,997,Central Park S & 6 Ave,E 88 St & 1 Ave,Subscriber,Male,1988
2855148,4/15/2017 16:12,4/15/2017 16:14,103,Allen St & Rivington St,Stanton St & Chrystie St,Subscriber,Female,1956
1675078,3/6/2017 16:02,3/6/2017 16:24,1339,E 59 St & Madison Ave,W 14 St & The High Line,Subscriber,Male,1963
338034,1/17/2017 6:43,1/17/2017 6:51,519,Pershing Square South,E 25 St & 2 Ave,Subscriber,Female,1990
445709,1/20/2017 19:01,1/20/2017 19:06,330,Stanton St & Chrystie St,MacDougal St & Prince St,Subscriber,Male,1983
3828509,5/6/2017 11:17,5/6/2017 11:23,360,E 15 St & 3 Ave,E 14 St & Avenue B,Subscriber,Male,1989
5931878,6/15/2017 16:52,6/15/2017 16:58,394,Front St & Washington St,Clark St & Henry St,Subscriber,Male,1980
3252725,4/24/2017 9:49,4/24/2017 9:57,436,Broadway & W 51 St,Pershing Square South,Subscriber,Male,1993
4263930,5/15/2017 18:09,5/15/2017 18:28,1165,Duane St & Greenwich St,W 16 St & The High Line,Subscriber,Female,1977
4327895,5/16/2017 18:22,5/16/2017 18:30,494,Leonard St & Maujer St,Myrtle Ave & Lewis Ave,Subscriber,Male,1973
4500991,5/19/2017 13:50,5/19/2017 14:02,692,Centre St & Chambers St,Centre St & Chambers St,Customer,,
2004051,3/23/2017 10:19,3/23/2017 10:28,524,1 Ave & E 16 St,E 16 St & 5 Ave,Subscriber,Male,1984
1377740,2/24/2017 19:50,2/24/2017 20:16,1551,Reade St & Broadway,E 10 St & Avenue A,Subscriber,Male,1991
6738778,6/29/2017 18:06,6/29/2017 18:10,263,E 16 St & 5 Ave,Greenwich Ave & 8 Ave,Subscriber,Male,1984
3479649,4/29/2017 13:01,4/29/2017 13:06,292,Barclay St & Church St,South End Ave & Liberty St,Subscriber,Male,1980
6067227,6/18/2017 13:36,6/18/2017 14:10,2048,E 33 St & 2 Ave,Cherry St,Subscriber,Male,1942
5888144,6/14/2017 20:52,6/14/2017 21:08,930,Broadway & Roebling St,Milton St & Franklin St,Subscriber,Female,1989
2491986,4/8/2017 11:42,4/8/2017 11:45,202,Adelphi St & Myrtle Ave,DeKalb Ave & S Portland Ave,Subscriber,Male,1990
6407126,6/24/2017 13:21,6/24/2017 13:58,2232,Bergen St & Smith St,Bedford Ave & Nassau Ave,Subscriber,Male,1977
6392474,6/24/2017 2:40,6/24/2017 2:46,379,11 Ave & W 41 St,8 Ave & W 33 St,Subscriber,Male,1974
4276054,5/15/2017 20:50,5/15/2017 20:56,413,University Pl & E 8 St,E 11 St & 2 Ave,Subscriber,Female,1965
2759514,4/13/2017 17:42,4/13/2017 17:45,205,Broadway & W 58 St,8 Ave & W 52 St,Subscriber,Male,1981
2401586,4/5/2017 12:49,4/5/2017 12:51,137,Broadway & W 58 St,Broadway & W 53 St,Subscriber,Female,1996
5820513,6/13/2017 19:00,6/13/2017 19:02,153,Barrow St & Hudson St,Greenwich St & W Houston St,Subscriber,Female,1999
5480048,6/8/2017 7:03,6/8/2017 7:12,560,Forsyth St & Broome St,Carmine St & 6 Ave,Subscriber,Female,1961
1951218,3/21/2017 16:15,3/21/2017 16:23,472,Lafayette St & E 8 St,E 2 St & Avenue C,Subscriber,Female,1996
3005402,4/18/2017 16:49,4/18/2017 16:54,334,W 45 St & 8 Ave,W 44 St & 5 Ave,Subscriber,Male,1984
4212374,5/14/2017 16:38,5/14/2017 16:43,245,Bond St & Bergen St,Dean St & 4 Ave,Subscriber,Male,1984
2697880,4/12/2017 16:07,4/12/2017 16:33,1573,Mott St & Prince St,E 51 St & 1 Ave,Subscriber,Female,1974
4393538,5/17/2017 18:26,5/17/2017 18:35,525,W 92 St & Broadway,W 76 St & Columbus Ave,Subscriber,Male,1948
3893488,5/7/2017 18:20,5/7/2017 18:42,1349,8 Ave & W 52 St,5 Ave & E 88 St,Subscriber,Male,1990
1811390,3/10/2017 8:27,3/10/2017 8:32,253,E 24 St & Park Ave S,Broadway & E 14 St,Subscriber,Male,1973
389272,1/19/2017 7:34,1/19/2017 7:42,444,Broadway & W 36 St,W 52 St & 6 Ave,Subscriber,Male,1979
4666273,5/23/2017 6:59,5/23/2017 7:22,1416,Central Park West & W 102 St,E 48 St & 5 Ave,Subscriber,Female,1957
3241064,4/24/2017 6:31,4/24/2017 6:56,1488,W 42 St & Dyer Ave,Liberty St & Broadway,Subscriber,Male,1962
4287006,5/16/2017 8:03,5/16/2017 8:37,2048,Clinton St & Joralemon St,E 47 St & 2 Ave,Subscriber,Male,1971
2971954,4/17/2017 23:11,4/17/2017 23:16,272,University Pl & E 8 St,E 15 St & 3 Ave,Subscriber,Male,1992
5902394,6/15/2017 8:17,6/15/2017 8:26,593,Cooper Square & E 7 St,8 Ave & W 16 St,Subscriber,Male,1990
3079483,4/20/2017 10:00,4/20/2017 10:21,1203,Broadway & W 24 St,W 52 St & 5 Ave,Subscriber,Male,1960
6356851,6/23/2017 12:01,6/23/2017 12:40,2341,Central Park S & 6 Ave,9 Ave & W 22 St,Customer,,
6437349,6/24/2017 20:40,6/24/2017 21:05,1484,Clinton St & Grand St,Forsyth St & Broome St,Subscriber,Male,1979
4015168,5/10/2017 8:08,5/10/2017 8:24,956,W 13 St & Hudson St,Vesey Pl & River Terrace,Subscriber,Male,1959
6417471,6/24/2017 15:38,6/24/2017 15:44,362,Cherry St,Allen St & Hester St,Subscriber,Female,1966
6158567,6/20/2017 12:06,6/20/2017 12:17,635,E 31 St & 3 Ave,W 38 St & 8 Ave,Subscriber,Male,1991
4742346,5/24/2017 11:32,5/24/2017 11:42,607,1 Ave & E 68 St,2 Ave & E 96 St,Subscriber,Male,1967
1214745,2/20/2017 17:42,2/20/2017 18:13,1852,Bus Slip & State St,Bus Slip & State St,Customer,,
3071010,4/19/2017 22:35,4/19/2017 22:56,1242,E 6 St & Avenue B,8 Ave & W 31 St,Customer,Male,1996
2767253,4/13/2017 19:04,4/13/2017 19:21,997,Duane St & Greenwich St,W 22 St & 10 Ave,Subscriber,Male,1979
1873353,3/13/2017 17:35,3/13/2017 17:56,1278,W Broadway & Spring St,11 Ave & W 27 St,Subscriber,Male,1977
6335267,6/22/2017 23:18,6/22/2017 23:42,1443,Greenwich Ave & 8 Ave,E 23 St & 1 Ave,Subscriber,Female,1996
4824502,5/26/2017 14:03,5/26/2017 14:24,1276,Kent Ave & N 7 St,N 6 St & Bedford Ave,Customer,,
5213563,6/2/2017 20:34,6/2/2017 20:39,273,University Pl & E 8 St,W 4 St & 7 Ave S,Subscriber,Male,1985
1578361,3/2/2017 15:21,3/2/2017 15:25,209,Sands St & Navy St,York St & Jay St,Subscriber,Male,1983
378557,1/18/2017 18:24,1/18/2017 18:46,1325,Rivington St & Ridge St,Montrose Ave & Bushwick Ave,Subscriber,Female,1986
1759669,3/8/2017 20:42,3/8/2017 20:44,156,E 91 St & Park Ave,E 88 St & Park Ave,Subscriber,Male,1987
2792598,4/14/2017 12:17,4/14/2017 12:37,1232,6 Ave & Canal St,Little West St & 1 Pl,Customer,,
3006257,4/18/2017 17:01,4/18/2017 17:17,912,Reade St & Broadway,South End Ave & Liberty St,Customer,,
2561325,4/9/2017 20:20,4/9/2017 20:30,588,2 Ave & E 31 St,E 17 St & Broadway,Subscriber,Male,1993
842093,2/4/2017 18:43,2/4/2017 18:50,455,W 56 St & 10 Ave,Broadway & W 49 St,Subscriber,Male,1974
5664204,6/11/2017 1:11,6/11/2017 1:42,1913,Henry St & Grand St,Broadway & W 24 St,Subscriber,Male,1981
3789757,5/4/2017 20:01,5/4/2017 20:36,2101,E 51 St & 1 Ave,Maiden Ln & Pearl St,Subscriber,Male,1990
5351922,6/5/2017 17:36,6/5/2017 18:06,1754,South St & Gouverneur Ln,Richards St & Delavan St,Subscriber,Male,1987
4776884,5/24/2017 19:56,5/24/2017 20:26,1792,Christopher St & Greenwich St,Amsterdam Ave & W 79 St,Subscriber,Male,1963
6224775,6/21/2017 11:46,6/21/2017 12:00,859,W 43 St & 6 Ave,W 53 St & 10 Ave,Subscriber,Female,1960
6413999,6/24/2017 14:52,6/24/2017 14:58,325,E 32 St & Park Ave,E 17 St & Broadway,Subscriber,Male,1989
3028133,4/19/2017 6:49,4/19/2017 6:53,198,West St & Chambers St,Centre St & Chambers St,Subscriber,Male,1980
3229794,4/23/2017 18:02,4/23/2017 18:16,835,Central Park West & W 102 St,Central Park West & W 72 St,Subscriber,Male,1964
1297870,2/23/2017 8:07,2/23/2017 8:16,511,W 49 St & 8 Ave,E 59 St & Madison Ave,Subscriber,Male,1981
1779232,3/9/2017 11:29,3/9/2017 11:38,569,Columbia St & Rivington St,Division St & Bowery,Subscriber,Male,1993
1669014,3/6/2017 11:57,3/6/2017 12:25,1686,Centre St & Worth St,Clinton St & Tillary St,Customer,,
6170127,6/20/2017 16:05,6/20/2017 16:30,1464,Carroll St & Smith St,Centre St & Chambers St,Subscriber,Male,1968
3712090,5/3/2017 16:20,5/3/2017 17:35,4552,W 34 St & 11 Ave,Fulton St & Broadway,Customer,,
5529352,6/8/2017 19:14,6/8/2017 19:46,1909,Washington St & Gansevoort St,W 46 St & 11 Ave,Customer,,
6467971,6/25/2017 14:33,6/25/2017 14:58,1479,E 66 St & Madison Ave,5 Ave & E 103 St,Customer,,
6353718,6/23/2017 10:39,6/23/2017 10:45,335,Clinton St & Joralemon St,Cadman Plaza E & Red Cross Pl,Subscriber,Female,1968
775802,2/2/2017 12:18,2/2/2017 12:22,239,W 13 St & 5 Ave,Sullivan St & Washington Sq,Subscriber,Male,1997
836946,2/4/2017 15:08,2/4/2017 15:16,449,Berkeley Pl & 7 Ave,Bergen St & Smith St,Subscriber,Male,1978
2432181,4/6/2017 7:20,4/6/2017 7:22,81,MacDougal St & Washington Sq,Sullivan St & Washington Sq,Subscriber,Male,1992
6647928,6/28/2017 11:47,6/28/2017 11:57,619,Broadway & W 29 St,Sullivan St & Washington Sq,Subscriber,Male,1986
6171939,6/20/2017 16:34,6/20/2017 17:10,2132,FDR Drive & E 35 St,31 St & Thomson Ave,Subscriber,Female,1977
4837234,5/26/2017 16:54,5/26/2017 17:15,1278,Washington St & Gansevoort St,Little West St & 1 Pl,Subscriber,Male,1967
5478620,6/8/2017 6:20,6/8/2017 6:22,116,E 31 St & 3 Ave,E 33 St & 2 Ave,Subscriber,Male,1990
72902,1/4/2017 23:02,1/4/2017 23:05,135,2 Ave & E 31 St,E 25 St & 2 Ave,Subscriber,Male,1991
2142023,3/28/2017 9:02,3/28/2017 9:07,292,11 Ave & W 41 St,W 42 St & 8 Ave,Subscriber,Male,1986
5644756,6/10/2017 17:11,6/10/2017 17:33,1288,Broadway & W 24 St,Canal St & Rutgers St,Subscriber,Male,1976
6672567,6/28/2017 18:04,6/28/2017 18:09,317,W Broadway & Spring St,Howard St & Centre St,Subscriber,Male,1964
233335,1/12/2017 17:18,1/12/2017 17:39,1255,W 42 St & 8 Ave,Central Park West & W 102 St,Subscriber,Male,1981
1884535,3/17/2017 11:00,3/17/2017 11:09,503,E 65 St & 2 Ave,E 85 St & 3 Ave,Subscriber,Male,1987
5321258,6/5/2017 8:08,6/5/2017 8:39,1812,Murray St & West St,W 42 St & 8 Ave,Subscriber,Male,1969
3744138,5/4/2017 7:58,5/4/2017 8:09,651,President St & Henry St,Schermerhorn St & Court St,Subscriber,Male,1973
3018843,4/18/2017 19:15,4/18/2017 19:42,1619,8 Ave & W 52 St,6 Ave & Canal St,Subscriber,Female,1980
2316085,4/3/2017 8:26,4/3/2017 8:37,670,W 38 St & 8 Ave,E 23 St & 1 Ave,Subscriber,Male,1979
5887645,6/14/2017 20:42,6/14/2017 21:07,1462,Maiden Ln & Pearl St,E 23 St & 1 Ave,Subscriber,Female,1983
3013856,4/18/2017 18:17,4/18/2017 18:29,690,Norfolk St & Broome St,S 5 Pl & S 4 St,Subscriber,Male,1960
6351515,6/23/2017 9:50,6/23/2017 10:03,829,N 6 St & Bedford Ave,Clinton Ave & Flushing Ave,Subscriber,Male,1980
5825054,6/13/2017 19:58,6/13/2017 20:08,585,Forsyth St & Broome St,E 17 St & Broadway,Subscriber,Male,1963
6730027,6/29/2017 16:43,6/29/2017 16:47,249,Grand Army Plaza & Central Park S,E 48 St & 5 Ave,Subscriber,Male,1977
1826417,3/10/2017 23:15,3/10/2017 23:29,844,Central Park S & 6 Ave,Columbus Ave & W 95 St,Subscriber,,1977
968783,2/11/2017 15:36,2/11/2017 15:51,883,Washington Pl & 6 Ave,Rivington St & Chrystie St,Subscriber,Male,1973
5298343,6/4/2017 14:41,6/4/2017 14:49,509,E 89 St & York Ave,E 102 St & 1 Ave,Subscriber,Female,1967
13703,1/1/2017 19:12,1/1/2017 19:31,1127,W 20 St & 11 Ave,Murray St & West St,Customer,,
3134620,4/21/2017 15:02,4/21/2017 15:08,342,Lafayette St & E 8 St,E 7 St & Avenue A,Subscriber,Male,1971
6225518,6/21/2017 12:02,6/21/2017 12:08,386,E 4 St & 2 Ave,E 10 St & Avenue A,Subscriber,Female,1978
6041709,6/17/2017 18:46,6/17/2017 18:54,476,Lexington Ave & E 63 St,W 55 St & 6 Ave,Subscriber,Female,1979
3288188,4/24/2017 23:33,4/24/2017 23:46,744,N 6 St & Bedford Ave,Franklin St & Dupont St,Subscriber,Male,1986
699264,1/30/2017 20:29,1/30/2017 20:43,817,West St & Chambers St,E 4 St & 2 Ave,Subscriber,Male,1986
5560849,6/9/2017 11:44,6/9/2017 12:10,1591,Lafayette St & E 8 St,12 Ave & W 40 St,Customer,Male,1985
5514258,6/8/2017 16:51,6/8/2017 17:05,881,Greenwich St & W Houston St,11 Ave & W 27 St,Subscriber,Male,1971
2296986,4/2/2017 17:00,4/2/2017 17:01,75,9 Ave & W 22 St,W 22 St & 8 Ave,Subscriber,Male,1990
6398130,6/24/2017 11:06,6/24/2017 11:09,187,Barclay St & Church St,Fulton St & Broadway,Subscriber,Male,1973
2548859,4/9/2017 16:25,4/9/2017 16:45,1177,W 24 St & 7 Ave,West St & Chambers St,Subscriber,Male,1992
2481285,4/7/2017 19:48,4/7/2017 19:53,304,W 26 St & 8 Ave,W 38 St & 8 Ave,Subscriber,Male,1985
3777400,5/4/2017 17:31,5/4/2017 17:35,215,Kent Ave & N 7 St,Metropolitan Ave & Bedford Ave,Subscriber,Male,1953
2160966,3/29/2017 7:59,3/29/2017 8:08,531,Central Park West & W 85 St,Central Park S & 6 Ave,Subscriber,Male,1971
5897459,6/15/2017 7:05,6/15/2017 7:17,714,West Thames St,Centre St & Worth St,Subscriber,Male,1954
6441021,6/24/2017 22:21,6/24/2017 22:41,1171,6 Ave & Canal St,Carmine St & 6 Ave,Customer,,
6637712,6/28/2017 8:49,6/28/2017 9:14,1505,Cathedral Pkwy & Broadway,W 52 St & 6 Ave,Subscriber,Male,1958
656884,1/29/2017 12:55,1/29/2017 12:59,264,W 41 St & 8 Ave,6 Ave & W 33 St,Subscriber,Female,1993
4193308,5/14/2017 11:06,5/14/2017 11:14,449,1 Ave & E 62 St,E 47 St & 1 Ave,Subscriber,Male,1974
2765315,4/13/2017 18:40,4/13/2017 19:15,2077,Duane St & Greenwich St,Cathedral Pkwy & Broadway,Subscriber,Male,1967
2508580,4/8/2017 16:51,4/8/2017 17:21,1813,W 14 St & The High Line,W 88 St & West End Ave,Subscriber,Male,1955
1371351,2/24/2017 17:59,2/24/2017 18:03,210,Barrow St & Hudson St,Bank St & Hudson St,Subscriber,Male,1960
3800736,5/5/2017 9:03,5/5/2017 9:10,463,Pershing Square North,W 31 St & 7 Ave,Subscriber,Male,1987
2486890,4/8/2017 9:02,4/8/2017 9:21,1141,E 60 St & York Ave,W 63 St & Broadway,Customer,,
1959438,3/21/2017 18:27,3/21/2017 18:46,1191,Cliff St & Fulton St,E 23 St & 1 Ave,Subscriber,Male,1990
5878947,6/14/2017 18:45,6/14/2017 19:22,2226,3 Ave & E 62 St,E 20 St & 2 Ave,Subscriber,Male,1986
6164224,6/20/2017 14:10,6/20/2017 14:20,576,E 30 St & Park Ave S,E 23 St & 1 Ave,Subscriber,Female,1976
4507646,5/19/2017 15:50,5/19/2017 16:07,1013,Grand Army Plaza & Central Park S,W 70 St & Amsterdam Ave,Subscriber,Female,1987
3036026,4/19/2017 8:49,4/19/2017 8:56,433,1 Ave & E 94 St,Madison Ave & E 99 St,Subscriber,Female,1985
2320738,4/3/2017 9:33,4/3/2017 9:55,1306,Berkeley Pl & 6 Ave,Berkeley Pl & 6 Ave,Subscriber,,
84306,1/5/2017 11:56,1/5/2017 12:01,286,E 32 St & Park Ave,E 45 St & 3 Ave,Subscriber,Male,1977
228565,1/12/2017 15:34,1/12/2017 15:38,200,W 52 St & 9 Ave,Broadway & W 55 St,Subscriber,Male,1974
1386254,2/25/2017 9:29,2/25/2017 9:34,303,W 37 St & 10 Ave,W 41 St & 8 Ave,Subscriber,Male,1988
6269681,6/21/2017 23:59,6/22/2017 0:19,1254,Carmine St & 6 Ave,Front St & Maiden Ln,Subscriber,Male,1960
6173619,6/20/2017 16:58,6/20/2017 17:01,206,Driggs Ave & Lorimer St,N 8 St & Driggs Ave,Subscriber,Female,1986
4218781,5/14/2017 19:03,5/14/2017 19:21,1085,E 55 St & 2 Ave,E 15 St & 3 Ave,Customer,,
6335379,6/22/2017 23:23,6/22/2017 23:31,514,E 7 St & Avenue A,Clinton St & Grand St,Subscriber,Male,1988
2485026,4/8/2017 2:08,4/8/2017 2:20,752,Centre St & Chambers St,E 7 St & Avenue A,Subscriber,Male,1983
1650900,3/5/2017 16:01,3/5/2017 16:12,668,11 Ave & W 41 St,Broadway & W 49 St,Subscriber,Male,1971
2744300,4/13/2017 13:27,4/13/2017 13:52,1509,5 Ave & E 93 St,12 Ave & W 40 St,Customer,,
3308681,4/25/2017 23:59,4/26/2017 0:03,254,Washington Pl & Broadway,E 4 St & 2 Ave,Subscriber,Female,1996
2125872,3/27/2017 18:12,3/27/2017 18:30,1098,Fulton St & Broadway,Allen St & Stanton St,Subscriber,Male,1988
5116172,6/1/2017 14:49,6/1/2017 15:18,1719,Centre St & Chambers St,Spruce St & Nassau St,Customer,,
4108411,5/11/2017 18:04,5/11/2017 18:33,1781,E 58 St & Madison Ave,Pershing Square North,Subscriber,Male,1980
279381,1/13/2017 20:19,1/13/2017 20:28,551,W 87 St  & Amsterdam Ave,11 Ave & W 59 St,Subscriber,Male,1994
2072415,3/25/2017 13:35,3/25/2017 13:41,402,W 20 St & 11 Ave,W 18 St & 6 Ave,Subscriber,Male,1991
432007,1/20/2017 9:20,1/20/2017 9:27,441,W 39 St & 9 Ave,Pershing Square South,Subscriber,Male,1980
3284666,4/24/2017 20:33,4/24/2017 20:39,379,6 Ave & W 33 St,E 16 St & 5 Ave,Subscriber,Male,1978
1157420,2/19/2017 10:33,2/19/2017 11:03,1821,Central Park S & 6 Ave,5 Ave & E 88 St,Customer,,
